"","MSZoning","LotShape","LandContour","LandSlope","Neighborhood","BldgType","HouseStyle","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","Fence","SaleCondition","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","SalePrice"
"1","RL","Reg","Lvl","Gtl","CollgCr","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","PConc","Gd","TA","No","GLQ","Ex","Y","SBrkr","Gd","Typ","No Fireplace","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","2","1","3","1","8","0","60",-0.218139853591249,-0.0100954747108353,"7","5",2003,2003,0.505581731748683,0.575227739911995,-0.944267060393254,-0.459145218497122,-0.793162022889067,1.16145362493334,0.37020659097219,90,0.31161787088171,0.350880094686988,-0.751918199272585,0.216429003220351,-0.0414192619662035,208500
"2","RL","Reg","Lvl","Gtl","Veenker","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","CBlock","Gd","TA","Gd","ALQ","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","No Fence","Normal","0","2","0","3","1","6","1","20",0.374719763391668,-0.00447827025271275,"6","8",1976,1976,-0.576077035080244,1.17159068345886,-0.641008356851332,0.466305140465886,0.257052352914191,-0.794890864438069,-0.48234664247401,63,0.31161787088171,-0.0607102107607402,1.62563778043276,-0.704241947620518,-0.0414192619662035,181500
"3","RL","IR1","Lvl","Gtl","CollgCr","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","PConc","Gd","TA","Mn","GLQ","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","2","1","3","1","6","1","60",-0.0995679301946654,0.00358119701328923,"7","5",2001,2002,0.31794704770693,0.0928753591020328,-0.301539658856643,-0.313261418069456,-0.627610988279686,1.18894324305097,0.514836157360384,88,0.31161787088171,0.631509848401348,-0.751918199272585,-0.0703373585169691,-0.0414192619662035,223500
"4","RL","IR1","Lvl","Gtl","Crawfor","1Fam","2Story","Gable","Wd Sdng","Wd Shng","None","TA","BrkTil","TA","Gd","No","ALQ","Gd","Y","SBrkr","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y","No Fence","Abnorml","1","1","0","3","1","7","1","70",-0.415759725918888,-0.00472249653350068,"7","5",1915,1970,-0.576077035080244,-0.499102562801103,-0.0616484456070629,-0.68708865666535,-0.521554856733052,0.936955076972689,0.383527735244787,85,1.64974166937376,0.790533375506153,-0.751918199272585,-0.175988123367561,0.471743852625839,140000
"5","RL","IR1","Lvl","Gtl","NoRidge","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","PConc","Gd","TA","Av","GLQ","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","2","1","4","1","9","1","60",0.532815661253779,0.0182836191167231,"8","5",2000,2000,1.35545647711427,0.463409687996958,-0.174804678271959,0.199611317809059,-0.045595632231083,1.61732312538406,1.29888064883323,87,1.64974166937376,1.69790291251592,0.779929948725489,0.56356723058658,-0.0414192619662035,250000
"6","RL","IR1","Lvl","Gtl","Mitchel","1Fam","1.5Fin","Gable","VinylSd","VinylSd","None","TA","Wood","Gd","TA","No","GLQ","Ex","Y","SBrkr","TA","Typ","No Fireplace","Attchd","Unf","TA","TA","Y","MnPrv","Normal","1","1","1","1","1","5","0","50",0.572339635719307,0.0175753629024381,"5","5",1993,1995,-0.576077035080244,0.632233021280445,-1.13889578057688,-0.595911281398059,-0.948366117835361,0.501702790110197,-0.292044581436912,80,0.31161787088171,0.0328330404773799,-0.432783168439653,-0.251452955403697,-0.0414192619662035,143000
"7","RL","Reg","Lvl","Gtl","Somerst","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","PConc","Ex","TA","Av","GLQ","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","2","0","3","1","7","1","20",0.177099891064029,-0.0021141598546855,"8","5",2004,2005,0.450395059971697,2.02886241480747,-0.5663252432925,1.43278531829917,1.37452183652751,-0.794890864438069,0.339758261206254,91,0.31161787088171,0.762470400134717,1.28256762228736,0.156057137591441,-0.0414192619662035,307000
"8","RL","IR1","Lvl","Gtl","NWAmes","1Fam","2Story","Gable","HdBoard","HdBoard","Stone","TA","CBlock","Gd","TA","Mn","ALQ","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","2","1","3","1","7","2","60",0.019003993201918,-0.000658571221189386,"7","6",1973,1973,0.748403087567421,0.910681895657105,-0.794900833275591,0.112992811305132,-0.143891559030403,1.45696701969788,1.09335442291316,60,0.31161787088171,0.0515416907250039,1.12300010687089,2.37472319945386,0.388732172324185,200000
"9","RM","Reg","Lvl","Gtl","OldTown","1Fam","1.5Fin","Gable","BrkFace","Wd Shng","None","TA","BrkTil","TA","TA","No","Unf","Gd","Y","FuseF","TA","Min1","TA","Detchd","Unf","Fa","TA","Y","No Fence","Abnorml","0","2","0","2","2","8","2","50",-0.771475496108638,-0.0214764193955533,"7","5",1931,1950,-0.576077035080244,-0.972684900323611,0.870758911551682,-0.240319517855622,-0.363764026870986,0.927791870933479,0.491999910035932,20,0.31161787088171,-0.0232929102654922,-0.0338643798984876,-0.704241947620518,0.345339703075593,129900
"10","RL","Reg","Lvl","Gtl","BrkSide","2fmCon","1.5Unf","Gable","MetalSd","MetalSd","None","TA","BrkTil","TA","TA","No","GLQ","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","Gd","TA","Y","No Fence","Normal","1","1","0","2","2","5","2","190",-0.810999470574166,-0.0151265360950669,"5","6",1939,1950,-0.576077035080244,0.893141809082198,-0.966898306926233,-0.151421576970013,-0.22149360650355,-0.794890864438069,-0.834405455392641,28,-1.02650592761034,-1.25338666404677,-0.751918199272585,-0.643870081991609,-0.0414192619662035,118000
